"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","114",".nextUntil() - get next sibling DOM elements until next el","Traversal","Mon Jan 13 16:30:50 GMT-03:00 2025","passed","Mon Jan 13 16:30:50 GMT-03:00 2025","","","",""
"","79",".within() - query DOM elements within a specific element","Querying","Mon Jan 13 16:30:33 GMT-03:00 2025","passed","Mon Jan 13 16:30:33 GMT-03:00 2025","","","",""
"","190","cy.clock() - control time in the browser","Spies, Stubs, and Clock","Mon Jan 13 16:30:40 GMT-03:00 2025","passed","Mon Jan 13 16:30:40 GMT-03:00 2025","","","",""
"","128",".debug() - enable or disable debugging","Cypress APIs","Mon Jan 13 16:30:05 GMT-03:00 2025","passed","Mon Jan 13 16:30:05 GMT-03:00 2025","","Cypress.Cookies","",""
"","79","cy.title() - get the title","Window","Mon Jan 13 16:31:14 GMT-03:00 2025","passed","Mon Jan 13 16:31:14 GMT-03:00 2025","","","",""
"","419",".submit() - submit a form","Actions","Mon Jan 13 16:29:34 GMT-03:00 2025","passed","Mon Jan 13 16:29:35 GMT-03:00 2025","","","",""
"","79",".invoke() - invoke a function on the current subject","Connectors","Mon Jan 13 16:29:56 GMT-03:00 2025","passed","Mon Jan 13 16:29:56 GMT-03:00 2025","","","",""
"","114",".siblings() - get all sibling DOM elements","Traversal","Mon Jan 13 16:30:51 GMT-03:00 2025","passed","Mon Jan 13 16:30:51 GMT-03:00 2025","","","",""
"","99",".not() - remove DOM elements from set of DOM elements","Traversal","Mon Jan 13 16:30:50 GMT-03:00 2025","passed","Mon Jan 13 16:30:50 GMT-03:00 2025","","","",""
"","102",".last() - get last DOM element","Traversal","Mon Jan 13 16:30:49 GMT-03:00 2025","passed","Mon Jan 13 16:30:49 GMT-03:00 2025","","","",""
"","377",".as() - alias a DOM element for later use","Aliasing","Mon Jan 13 16:29:45 GMT-03:00 2025","passed","Mon Jan 13 16:29:46 GMT-03:00 2025","","","",""
"","209","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","Mon Jan 13 16:30:45 GMT-03:00 2025","passed","Mon Jan 13 16:30:45 GMT-03:00 2025","","","",""
"","83","yields the original subject without return","Connectors","Mon Jan 13 16:29:57 GMT-03:00 2025","passed","Mon Jan 13 16:29:57 GMT-03:00 2025","",".then()","",""
"","94","yields the value yielded by the last Cypress command inside","Connectors","Mon Jan 13 16:29:57 GMT-03:00 2025","passed","Mon Jan 13 16:29:57 GMT-03:00 2025","",".then()","",""
"","234","Cypress.$ - call a jQuery method","Utilities","Mon Jan 13 16:30:54 GMT-03:00 2025","passed","Mon Jan 13 16:30:54 GMT-03:00 2025","","","",""
"","1614","retries the should callback until assertions pass","Assertions","Mon Jan 13 16:29:51 GMT-03:00 2025","passed","Mon Jan 13 16:29:53 GMT-03:00 2025","","Explicit Assertions","",""
"","101","Get and set configuration options","Cypress APIs","Mon Jan 13 16:30:05 GMT-03:00 2025","passed","Mon Jan 13 16:30:05 GMT-03:00 2025","","Cypress.config()","",""
"","433","can add new todo items","example to-do app","Mon Jan 13 16:29:24 GMT-03:00 2025","passed","Mon Jan 13 16:29:24 GMT-03:00 2025","","","",""
"","176",".focus() - focus on a DOM element","Actions","Mon Jan 13 16:29:33 GMT-03:00 2025","passed","Mon Jan 13 16:29:33 GMT-03:00 2025","","","",""
"","483","cy.request() - pass result to the second request","Network Requests","Mon Jan 13 16:30:27 GMT-03:00 2025","passed","Mon Jan 13 16:30:28 GMT-03:00 2025","","","",""
"","373",".should() - make an assertion about the current subject","Assertions","Mon Jan 13 16:29:50 GMT-03:00 2025","passed","Mon Jan 13 16:29:50 GMT-03:00 2025","","Implicit Assertions","",""
"","239","cy.clearCookie() - clear a browser cookie","Cookies","Mon Jan 13 16:30:01 GMT-03:00 2025","passed","Mon Jan 13 16:30:01 GMT-03:00 2025","","","",""
"","87","invokes a callback function with the current subject","Connectors","Mon Jan 13 16:29:56 GMT-03:00 2025","passed","Mon Jan 13 16:29:57 GMT-03:00 2025","",".then()","",""
"","258","cy.hash() - get the current URL hash","Location","Mon Jan 13 16:30:13 GMT-03:00 2025","passed","Mon Jan 13 16:30:13 GMT-03:00 2025","","","",""
"","90",".spread() - spread an array as individual args to callback function","Connectors","Mon Jan 13 16:29:56 GMT-03:00 2025","passed","Mon Jan 13 16:29:56 GMT-03:00 2025","","","",""
"","77","cy.url() - get the current URL","Location","Mon Jan 13 16:30:13 GMT-03:00 2025","passed","Mon Jan 13 16:30:13 GMT-03:00 2025","","","",""
"","86",".prevUntil() - get all previous sibling DOM elements until el","Traversal","Mon Jan 13 16:30:50 GMT-03:00 2025","passed","Mon Jan 13 16:30:51 GMT-03:00 2025","","","",""
"","81",".first() - get first DOM element","Traversal","Mon Jan 13 16:30:49 GMT-03:00 2025","passed","Mon Jan 13 16:30:49 GMT-03:00 2025","","","",""
"","684","cy.request() - make an XHR request","Network Requests","Mon Jan 13 16:30:26 GMT-03:00 2025","passed","Mon Jan 13 16:30:26 GMT-03:00 2025","","","",""
"","224","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","Mon Jan 13 16:30:44 GMT-03:00 2025","passed","Mon Jan 13 16:30:45 GMT-03:00 2025","","","",""
"","89","pass your own callback function to should()","Assertions","Mon Jan 13 16:29:50 GMT-03:00 2025","passed","Mon Jan 13 16:29:51 GMT-03:00 2025","","Explicit Assertions","",""
"","110","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","Mon Jan 13 16:30:40 GMT-03:00 2025","passed","Mon Jan 13 16:30:40 GMT-03:00 2025","","","",""
"","233","cy.clearAllCookies() - clear all browser cookies","Cookies","Mon Jan 13 16:30:01 GMT-03:00 2025","passed","Mon Jan 13 16:30:02 GMT-03:00 2025","","","",""
"","381",".each() - iterate over an array of elements","Connectors","Mon Jan 13 16:29:56 GMT-03:00 2025","passed","Mon Jan 13 16:29:56 GMT-03:00 2025","","","",""
"","462","cy.getCookie() - get a browser cookie","Cookies","Mon Jan 13 16:30:00 GMT-03:00 2025","passed","Mon Jan 13 16:30:00 GMT-03:00 2025","","","",""
"","325","can filter for uncompleted tasks","example to-do app","Mon Jan 13 16:29:24 GMT-03:00 2025","passed","Mon Jan 13 16:29:25 GMT-03:00 2025","","with a checked task","",""
"","72","cy.wrap() - wrap an object","Misc","Mon Jan 13 16:30:17 GMT-03:00 2025","passed","Mon Jan 13 16:30:17 GMT-03:00 2025","","","",""
"","96",".parent() - get parent DOM element from DOM elements","Traversal","Mon Jan 13 16:30:50 GMT-03:00 2025","passed","Mon Jan 13 16:30:50 GMT-03:00 2025","","","",""
"","2126",".click() - click on a DOM element","Actions","Mon Jan 13 16:29:35 GMT-03:00 2025","passed","Mon Jan 13 16:29:37 GMT-03:00 2025","","","",""
"","269","cy.getCookies() - get browser cookies for the current domain","Cookies","Mon Jan 13 16:30:00 GMT-03:00 2025","passed","Mon Jan 13 16:30:01 GMT-03:00 2025","","","",""
"","188",".rightclick() - right click on a DOM element","Actions","Mon Jan 13 16:29:37 GMT-03:00 2025","passed","Mon Jan 13 16:29:37 GMT-03:00 2025","","","",""
"","289","cy.tick() - move time in the browser","Spies, Stubs, and Clock","Mon Jan 13 16:30:40 GMT-03:00 2025","passed","Mon Jan 13 16:30:41 GMT-03:00 2025","","","",""
"","88",".isHidden() - determine if a DOM element is hidden","Cypress APIs","Mon Jan 13 16:30:05 GMT-03:00 2025","passed","Mon Jan 13 16:30:05 GMT-03:00 2025","","Cypress.dom","",""
"","291","cy.request() with query parameters","Network Requests","Mon Jan 13 16:30:27 GMT-03:00 2025","passed","Mon Jan 13 16:30:27 GMT-03:00 2025","","","",""
"","714","best practices - selecting elements","Querying","Mon Jan 13 16:30:34 GMT-03:00 2025","passed","Mon Jan 13 16:30:34 GMT-03:00 2025","","","",""
"","427","cy.visit() - visit a remote url","Navigation","Mon Jan 13 16:30:22 GMT-03:00 2025","passed","Mon Jan 13 16:30:23 GMT-03:00 2025","","","",""
"","195","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","Mon Jan 13 16:30:45 GMT-03:00 2025","passed","Mon Jan 13 16:30:45 GMT-03:00 2025","","","",""
"","119",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","Mon Jan 13 16:30:50 GMT-03:00 2025","passed","Mon Jan 13 16:30:50 GMT-03:00 2025","","","",""
"","289",".add() - create a custom command","Cypress APIs","Mon Jan 13 16:30:05 GMT-03:00 2025","passed","Mon Jan 13 16:30:05 GMT-03:00 2025","","Cypress.Commands","",""
"","119","cy.setCookie() - set a browser cookie","Cookies","Mon Jan 13 16:30:01 GMT-03:00 2025","passed","Mon Jan 13 16:30:01 GMT-03:00 2025","","","",""
"","86","cy.readFile() - read file contents","Files","Mon Jan 13 16:30:09 GMT-03:00 2025","passed","Mon Jan 13 16:30:10 GMT-03:00 2025","","","",""
"","464","cy.reload() - reload the page","Navigation","Mon Jan 13 16:30:22 GMT-03:00 2025","passed","Mon Jan 13 16:30:22 GMT-03:00 2025","","","",""
"","104",".prev() - get previous sibling DOM element","Traversal","Mon Jan 13 16:30:50 GMT-03:00 2025","passed","Mon Jan 13 16:30:50 GMT-03:00 2025","","","",""
"","120","assert - assert shape of an object","Assertions","Mon Jan 13 16:29:51 GMT-03:00 2025","passed","Mon Jan 13 16:29:51 GMT-03:00 2025","","Explicit Assertions","",""
"","117","finds element by class name regex","Assertions","Mon Jan 13 16:29:51 GMT-03:00 2025","passed","Mon Jan 13 16:29:51 GMT-03:00 2025","","Explicit Assertions","",""
"","123","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","Mon Jan 13 16:30:18 GMT-03:00 2025","passed","Mon Jan 13 16:30:18 GMT-03:00 2025","","Cypress.Screenshot","",""
"","943",".select() - select an option in a <select> element","Actions","Mon Jan 13 16:29:39 GMT-03:00 2025","passed","Mon Jan 13 16:29:40 GMT-03:00 2025","","","",""
"","97","Get environment variables","Cypress APIs","Mon Jan 13 16:30:05 GMT-03:00 2025","passed","Mon Jan 13 16:30:06 GMT-03:00 2025","","Cypress.env()","",""
"","4780","cy.wait() - wait for a specific amount of time","Waiting","Mon Jan 13 16:31:05 GMT-03:00 2025","passed","Mon Jan 13 16:31:10 GMT-03:00 2025","","","",""
"","1478","cy.intercept() - route responses to matching requests","Network Requests","Mon Jan 13 16:30:28 GMT-03:00 2025","passed","Mon Jan 13 16:30:30 GMT-03:00 2025","","","",""
"","21","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","Mon Jan 13 16:30:41 GMT-03:00 2025","passed","Mon Jan 13 16:30:41 GMT-03:00 2025","","","",""
"","305",".children() - get child DOM elements","Traversal","Mon Jan 13 16:30:48 GMT-03:00 2025","passed","Mon Jan 13 16:30:49 GMT-03:00 2025","","","",""
"","92","Get current spec information","Cypress APIs","Mon Jan 13 16:30:06 GMT-03:00 2025","passed","Mon Jan 13 16:30:06 GMT-03:00 2025","","Cypress.spec","",""
"","97","cy.root() - query the root DOM element","Querying","Mon Jan 13 16:30:33 GMT-03:00 2025","passed","Mon Jan 13 16:30:34 GMT-03:00 2025","","","",""
"","94","yields the returned value to the next command","Connectors","Mon Jan 13 16:29:57 GMT-03:00 2025","passed","Mon Jan 13 16:29:57 GMT-03:00 2025","",".then()","",""
"","393","cy.fixture() - load a fixture","Files","Mon Jan 13 16:30:09 GMT-03:00 2025","passed","Mon Jan 13 16:30:09 GMT-03:00 2025","","","",""
"","335","cy.writeFile() - write to a file","Files","Mon Jan 13 16:30:10 GMT-03:00 2025","passed","Mon Jan 13 16:30:10 GMT-03:00 2025","","","",""
"","510","Cypress.Blob - blob utilities and base64 string conversion","Utilities","Mon Jan 13 16:30:54 GMT-03:00 2025","passed","Mon Jan 13 16:30:55 GMT-03:00 2025","","","",""
"","508","cy.request() - save response in the shared test context","Network Requests","Mon Jan 13 16:30:28 GMT-03:00 2025","passed","Mon Jan 13 16:30:28 GMT-03:00 2025","","","",""
"","602",".clear() - clears an input or textarea element","Actions","Mon Jan 13 16:29:34 GMT-03:00 2025","passed","Mon Jan 13 16:29:34 GMT-03:00 2025","","","",""
"","1095","Cypress.Promise - instantiate a bluebird promise","Utilities","Mon Jan 13 16:30:55 GMT-03:00 2025","passed","Mon Jan 13 16:30:56 GMT-03:00 2025","","","",""
"","2109","cy.scrollTo() - scroll the window or element to a position","Actions","Mon Jan 13 16:29:40 GMT-03:00 2025","passed","Mon Jan 13 16:29:43 GMT-03:00 2025","","","",""
"","344","displays two todo items by default","example to-do app","Mon Jan 13 16:29:23 GMT-03:00 2025","passed","Mon Jan 13 16:29:24 GMT-03:00 2025","","","",""
"","129","cy.getAllCookies() - get all browser cookies","Cookies","Mon Jan 13 16:30:01 GMT-03:00 2025","passed","Mon Jan 13 16:30:01 GMT-03:00 2025","","","",""
"","410","cy.exec() - execute a system command","Misc","Mon Jan 13 16:30:16 GMT-03:00 2025","passed","Mon Jan 13 16:30:16 GMT-03:00 2025","","","",""
"","1071",".as() - alias a route for later use","Aliasing","Mon Jan 13 16:29:46 GMT-03:00 2025","passed","Mon Jan 13 16:29:47 GMT-03:00 2025","","","",""
"","98","matches unknown text between two elements","Assertions","Mon Jan 13 16:29:51 GMT-03:00 2025","passed","Mon Jan 13 16:29:51 GMT-03:00 2025","","Explicit Assertions","",""
"","2533","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","Mon Jan 13 16:30:37 GMT-03:00 2025","passed","Mon Jan 13 16:30:40 GMT-03:00 2025","","","",""
"","289","cy.window() - get the global window object","Window","Mon Jan 13 16:31:13 GMT-03:00 2025","passed","Mon Jan 13 16:31:14 GMT-03:00 2025","","","",""
"","116",".scrollIntoView() - scroll an element into view","Actions","Mon Jan 13 16:29:40 GMT-03:00 2025","passed","Mon Jan 13 16:29:40 GMT-03:00 2025","","","",""
"","24","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","Mon Jan 13 16:30:41 GMT-03:00 2025","passed","Mon Jan 13 16:30:41 GMT-03:00 2025","","","",""
"","311","cy.get() - query DOM elements","Querying","Mon Jan 13 16:30:33 GMT-03:00 2025","passed","Mon Jan 13 16:30:33 GMT-03:00 2025","","","",""
"","98","Get underlying OS name","Cypress APIs","Mon Jan 13 16:30:06 GMT-03:00 2025","passed","Mon Jan 13 16:30:06 GMT-03:00 2025","","Cypress.platform","",""
"","91","can throw any error","Assertions","Mon Jan 13 16:29:51 GMT-03:00 2025","passed","Mon Jan 13 16:29:51 GMT-03:00 2025","","Explicit Assertions","",""
"","888",".uncheck() - uncheck a checkbox element","Actions","Mon Jan 13 16:29:38 GMT-03:00 2025","passed","Mon Jan 13 16:29:39 GMT-03:00 2025","","","",""
"","263","can delete all completed tasks","example to-do app","Mon Jan 13 16:29:25 GMT-03:00 2025","passed","Mon Jan 13 16:29:25 GMT-03:00 2025","","with a checked task","",""
"","78",".filter() - get DOM elements that match the selector","Traversal","Mon Jan 13 16:30:49 GMT-03:00 2025","passed","Mon Jan 13 16:30:49 GMT-03:00 2025","","","",""
"","146","cy.contains() - query DOM elements with matching content","Querying","Mon Jan 13 16:30:33 GMT-03:00 2025","passed","Mon Jan 13 16:30:33 GMT-03:00 2025","","","",""
"","92",".find() - get descendant DOM elements of the selector","Traversal","Mon Jan 13 16:30:49 GMT-03:00 2025","passed","Mon Jan 13 16:30:49 GMT-03:00 2025","","","",""
"","213","cy.clearCookies() - clear browser cookies for the current domain","Cookies","Mon Jan 13 16:30:01 GMT-03:00 2025","passed","Mon Jan 13 16:30:01 GMT-03:00 2025","","","",""
"","149","cy.document() - get the document object","Window","Mon Jan 13 16:31:14 GMT-03:00 2025","passed","Mon Jan 13 16:31:14 GMT-03:00 2025","","","",""
"","89","Get current version of Cypress being run","Cypress APIs","Mon Jan 13 16:30:06 GMT-03:00 2025","passed","Mon Jan 13 16:30:06 GMT-03:00 2025","","Cypress.version","",""
"","840","cy.screenshot() - take a screenshot","Misc","Mon Jan 13 16:30:17 GMT-03:00 2025","passed","Mon Jan 13 16:30:18 GMT-03:00 2025","","Cypress.Screenshot","",""
"","84","Control what is printed to the Command Log","Cypress APIs","Mon Jan 13 16:30:06 GMT-03:00 2025","passed","Mon Jan 13 16:30:06 GMT-03:00 2025","","Cypress.log","",""
"","80","Get CPU architecture name of underlying OS","Cypress APIs","Mon Jan 13 16:30:05 GMT-03:00 2025","passed","Mon Jan 13 16:30:05 GMT-03:00 2025","","Cypress.arch","",""
"","422",".blur() - blur off a DOM element","Actions","Mon Jan 13 16:29:33 GMT-03:00 2025","passed","Mon Jan 13 16:29:33 GMT-03:00 2025","","","",""
"","127",".its() - get properties on the current subject","Connectors","Mon Jan 13 16:29:56 GMT-03:00 2025","passed","Mon Jan 13 16:29:56 GMT-03:00 2025","","","",""
"","81",".prevAll() - get all previous sibling DOM elements","Traversal","Mon Jan 13 16:30:50 GMT-03:00 2025","passed","Mon Jan 13 16:30:50 GMT-03:00 2025","","","",""
"","878",".check() - check a checkbox or radio element","Actions","Mon Jan 13 16:29:37 GMT-03:00 2025","passed","Mon Jan 13 16:29:38 GMT-03:00 2025","","","",""
"","105","expect - make an assertion about a specified subject","Assertions","Mon Jan 13 16:29:50 GMT-03:00 2025","passed","Mon Jan 13 16:29:50 GMT-03:00 2025","","Explicit Assertions","",""
"","105",".nextAll() - get all next sibling DOM elements","Traversal","Mon Jan 13 16:30:49 GMT-03:00 2025","passed","Mon Jan 13 16:30:50 GMT-03:00 2025","","","",""
